Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,Broker_Status__c,Broker_Tier__c,Employment_Status_Borrower_2__c,Employment_Status__c,Mortgage_Position__c,Mortgage_Purpose__c,Occupancy_Type__c,Property_Type__c,Stage__c,Amount__c,Client_Risk_Rating__c,Credit_Score_Borrower_2__c,Credit_Score__c,Current_Term_In_Months__c,Global_Debt_Servicing_Ratio__c,Interest_Rate__c,Loan_Id__c,Loan_To_Value__c,Self_Employed__c,Total_Debt_Servicing_Ratio__c
a00QL00000DNhXpYAL,005QL00000BrRBpYAN,,Loan-0000000000,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Pension,Salary,2,Equity Takeout,Rent To Own,Row,Declined,428022,4,858,463,31,56.2,7.1,a006g000002FCVVAA4,55,,98.3
a00QL00000DNhXqYAL,005QL00000BrRBpYAN,,Loan-0000000001,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Other,Pension,3,Equity Takeout,Rental,Semi-detached,Declined,765490,4,601,493,23,9.6,6.79,a006g000002FCVWAA4,41,,88.5
a00QL00000DNhXrYAL,005QL00000BrRBpYAN,,Loan-0000000002,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Deactivated,Key Account,Self-employed,Self-employed,1,Refinance for Debt Consolidation,Owner,Apartment High Rise,Approved,485838,3,732,474,32,72.2,8.35,a006g000002FCVXAA4,67,1,82.2
a00QL00000DNhXsYAL,005QL00000BrRBpYAN,,Loan-0000000003,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Salary,Contract,1,Purchase,Rental,Row,Declined,939589,4,715,777,42,25.9,8.28,a006g000002FCVYAA4,26,,47.9
a00QL00000DNhXtYAL,005QL00000BrRBpYAN,,Loan-0000000004,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Self-employed,Self-employed,1,Refinance for Debt Consolidation,Rental,Row,Declined,965183,3,829,880,24,47.7,6.07,a006g000002FCVZAA4,45,1,66.6
a00QL00000DNhXuYAL,005QL00000BrRBpYAN,,Loan-0000000005,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Watch List,Key Account,Commissions,Contract,1,Refinance for Debt Consolidation,Owner,Apartment Low Rise,Approved,938930,3,696,416,4,44.7,9.36,a006g000002FCVaAAO,62,,54.9
a00QL00000DNhXvYAL,005QL00000BrRBpYAN,,Loan-0000000006,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Pension,Pension,2,Purchase,Rent To Own,Row,Declined,1444131,3,504,460,26,83.4,9.39,a006g000002FCVbAAO,41,,89.7
a00QL00000DNhXwYAL,005QL00000BrRBpYAN,,Loan-0000000007,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Pension,Commissions,3,Refinance,Rental,Single,Declined,724493,4,832,809,25,7.2,8.77,a006g000002FCVcAAO,27,,14.5
a00QL00000DNhXxYAL,005QL00000BrRBpYAN,,Loan-0000000008,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Deactivated,Non Key Account,Self-employed,Other,1,Refinance for Debt Consolidation,Rent To Own,Row,Approved,309199,2,405,865,14,30.4,8.02,a006g000002FCVdAAO,46,,36.9
a00QL00000DNhXyYAL,005QL00000BrRBpYAN,,Loan-0000000009,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Contract,Self-employed,3,Refinance for Debt Consolidation,Owner,Apartment High Rise,Declined,440333,4,516,662,51,39.8,7.67,a006g000002FCVeAAO,8,1,94.6
a00QL00000DNhXzYAL,005QL00000BrRBpYAN,,Loan-0000000010,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Pension,Self-employed,2,Purchase,Owner,Apartment Low Rise,Declined,786587,3,833,505,17,69.1,9.15,a006g000002FCVfAAO,42,1,84.7
a00QL00000DNhY0YAL,005QL00000BrRBpYAN,,Loan-0000000011,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Commissions,Other,1,Refinance,Rent To Own,Row,Declined,568348,4,587,562,15,17.8,7.97,a006g000002FCVgAAO,41,,38
a00QL00000DNhY1YAL,005QL00000BrRBpYAN,,Loan-0000000012,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Deactivated,Non Key Account,Hourly,Commissions,2,Purchase Rent to Own,Owner,Semi-detached,Declined,1161856,2,515,889,20,46.1,6.37,a006g000002FCVhAAO,41,,66.2
a00QL00000DNhY2YAL,005QL00000BrRBpYAN,,Loan-0000000013,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Contract,Other,2,Purchase Rent to Own,Rental,Row,Declined,440915,3,418,755,49,96.7,4.81,a006g000002FCViAAO,62,,98.2
a00QL00000DNhY3YAL,005QL00000BrRBpYAN,,Loan-0000000014,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Pension,Hourly,1,Purchase,Rent To Own,Apartment High Rise,Declined,484935,4,688,424,20,12.4,8.42,a006g000002FCVjAAO,33,,67.8
a00QL00000DNhY4YAL,005QL00000BrRBpYAN,,Loan-0000000015,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Other,Contract,3,Purchase Rent to Own,Owner,Row,Approved,1099280,3,573,812,36,26.3,7.35,a006g000002FCVkAAO,48,,40.7
a00QL00000DNhY5YAL,005QL00000BrRBpYAN,,Loan-0000000016,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Other,Salary,3,Refinance for Debt Consolidation,Rent To Own,Single,Declined,1352726,4,424,681,15,52.5,8.65,a006g000002FCVlAAO,22,,94.9
a00QL00000DNhY6YAL,005QL00000BrRBpYAN,,Loan-0000000017,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Other,Hourly,1,Refinance,Rental,Semi-detached,Approved,1473599,4,658,865,28,19.4,8.78,a006g000002FCVmAAO,41,,26.3
a00QL00000DNhY7YAL,005QL00000BrRBpYAN,,Loan-0000000018,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Pension,Hourly,1,Purchase Rent to Own,Rent To Own,Single,Approved,454064,4,797,747,18,27,4.51,a006g000002FCVnAAO,36,,72.1
a00QL00000DNhY8YAL,005QL00000BrRBpYAN,,Loan-0000000019,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Watch List,Key Account,Self-employed,Salary,2,Refinance for Debt Consolidation,Owner,Apartment Low Rise,Declined,878288,5,451,650,56,2.5,7.52,a006g000002FCVoAAO,20,,8.7
a00QL00000DNhY9YAL,005QL00000BrRBpYAN,,Loan-0000000020,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Hourly,Hourly,3,Refinance for Debt Consolidation,Rent To Own,Single,Approved,269077,3,899,415,5,91.1,7.05,a006g000002FCVpAAO,23,,96.9
a00QL00000DNhYAYA1,005QL00000BrRBpYAN,,Loan-0000000021,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Contract,Commissions,2,Purchase,Owner,Apartment High Rise,Declined,230025,4,587,765,20,66.4,8.69,a006g000002FCVqAAO,6,,71.1
a00QL00000DNhYBYA1,005QL00000BrRBpYAN,,Loan-0000000022,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Hourly,Pension,1,Refinance,Rent To Own,Apartment Low Rise,Declined,389090,3,793,791,19,34.7,5.81,a006g000002FCVrAAO,47,,58.6
a00QL00000DNhYCYA1,005QL00000BrRBpYAN,,Loan-0000000023,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Deactivated,Key Account,Hourly,Pension,3,Purchase Rent to Own,Rental,Apartment Low Rise,Approved,480952,4,448,735,9,72.6,7.72,a006g000002FCVsAAO,23,,85.4
a00QL00000DNhYDYA1,005QL00000BrRBpYAN,,Loan-0000000024,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Key Account,Salary,Hourly,2,Equity Takeout,Rental,Row,Declined,600931,4,823,590,37,42.1,8.24,a006g000002FCVtAAO,58,,93.4
a00QL00000DNhYEYA1,005QL00000BrRBpYAN,,Loan-0000000025,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Deactivated,Key Account,Self-employed,Contract,2,Purchase,Owner,Apartment Low Rise,Declined,451308,3,523,837,30,30,7.72,a006g000002FCVuAAO,41,,36.5
a00QL00000DNhYFYA1,005QL00000BrRBpYAN,,Loan-0000000026,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Other,Pension,2,Refinance for Debt Consolidation,Rental,Semi-detached,Declined,831425,5,633,476,12,85,5.95,a006g000002FCVvAAO,54,,99.2
a00QL00000DNhYGYA1,005QL00000BrRBpYAN,,Loan-0000000027,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,005QL00000BrRBpYAN,2024-10-14T04:01:28.000+0000,,,Approved,Non Key Account,Other,Pension,1,Refinance for Debt Consolidation,Rental,Single,Declined,1488264,4,756,453,12,24.8,6.2,a006g000002FCVwAAO,47,,39.6
